kankersoort	periode	geslacht	leeftijdsgroep	cr
kanker_van_de_spijsverteringsorganen	1992	Man	group:50-54	94,19
kanker_van_de_spijsverteringsorganen	1992	Man	group:55-59	176,69
kanker_van_de_spijsverteringsorganen	1992	Man	group:60-64	272,42
kanker_van_de_spijsverteringsorganen	1992	Man	group:65-69	428,14
kanker_van_de_spijsverteringsorganen	1992	Man	group:70-74	566,2
kanker_van_de_spijsverteringsorganen	1992	Man	group:75-79	717,52
kanker_van_de_spijsverteringsorganen	1992	Man	group:80-84	917,7
kanker_van_de_spijsverteringsorganen	1992	Man	group:85+	900,13
kanker_van_de_spijsverteringsorganen	1993	Man	group:0-4	0,2
kanker_van_de_spijsverteringsorganen	1993	Man	group:5-9	0,21
kanker_van_de_spijsverteringsorganen	1993	Man	group:10-14	0,22
kanker_van_de_spijsverteringsorganen	1993	Man	group:15-19	0,83
kanker_van_de_spijsverteringsorganen	1993	Man	group:20-24	0,8
kanker_van_de_spijsverteringsorganen	1993	Man	group:25-29	2,39
kanker_van_de_spijsverteringsorganen	1993	Man	group:30-34	3,8
kanker_van_de_spijsverteringsorganen	1993	Man	group:35-39	10,89
kanker_van_de_spijsverteringsorganen	1993	Man	group:40-44	22,83
kanker_van_de_spijsverteringsorganen	1993	Man	group:45-49	55,73
kanker_van_de_spijsverteringsorganen	1993	Man	group:50-54	86,24
kanker_van_de_spijsverteringsorganen	1993	Man	group:55-59	175,3
kanker_van_de_spijsverteringsorganen	1993	Man	group:60-64	263,79
kanker_van_de_spijsverteringsorganen	1993	Man	group:65-69	420,37
kanker_van_de_spijsverteringsorganen	1993	Man	group:70-74	605,72
kanker_van_de_spijsverteringsorganen	1993	Man	group:75-79	736,43
kanker_van_de_spijsverteringsorganen	1993	Man	group:80-84	818,82
kanker_van_de_spijsverteringsorganen	1993	Man	group:85+	788,05
kanker_van_de_spijsverteringsorganen	1994	Man	group:0-4	0,2
kanker_van_de_spijsverteringsorganen	1994	Man	group:5-9	0,21
kanker_van_de_spijsverteringsorganen	1994	Man	group:10-14	0,65
kanker_van_de_spijsverteringsorganen	1994	Man	group:15-19	1,26
kanker_van_de_spijsverteringsorganen	1994	Man	group:20-24	1,17
kanker_van_de_spijsverteringsorganen	1994	Man	group:25-29	3,29
kanker_van_de_spijsverteringsorganen	1994	Man	group:30-34	4,64
kanker_van_de_spijsverteringsorganen	1994	Man	group:35-39	10,24
kanker_van_de_spijsverteringsorganen	1994	Man	group:40-44	25,35
kanker_van_de_spijsverteringsorganen	1994	Man	group:45-49	51,29
kanker_van_de_spijsverteringsorganen	1994	Man	group:50-54	103,02
kanker_van_de_spijsverteringsorganen	1994	Man	group:55-59	161,86
kanker_van_de_spijsverteringsorganen	1994	Man	group:60-64	291,47
kanker_van_de_spijsverteringsorganen	1994	Man	group:65-69	407,55
kanker_van_de_spijsverteringsorganen	1994	Man	group:70-74	580,63
kanker_van_de_spijsverteringsorganen	1994	Man	group:75-79	734,14
kanker_van_de_spijsverteringsorganen	1994	Man	group:80-84	876,13
kanker_van_de_spijsverteringsorganen	1994	Man	group:85+	797,97
kanker_van_de_spijsverteringsorganen	1995	Man	group:5-9	0,41
kanker_van_de_spijsverteringsorganen	1995	Man	group:10-14	1,3
kanker_van_de_spijsverteringsorganen	1995	Man	group:15-19	1,69
kanker_van_de_spijsverteringsorganen	1995	Man	group:20-24	1,42
kanker_van_de_spijsverteringsorganen	1995	Man	group:25-29	2,71
kanker_van_de_spijsverteringsorganen	1995	Man	group:30-34	5,34
kanker_van_de_spijsverteringsorganen	1995	Man	group:35-39	9,12
kanker_van_de_spijsverteringsorganen	1995	Man	group:40-44	22,58
kanker_van_de_spijsverteringsorganen	1995	Man	group:45-49	53,36
kanker_van_de_spijsverteringsorganen	1995	Man	group:50-54	95,04
kanker_van_de_spijsverteringsorganen	1995	Man	group:55-59	169,02
kanker_van_de_spijsverteringsorganen	1995	Man	group:60-64	285,52
kanker_van_de_spijsverteringsorganen	1995	Man	group:65-69	404,54
kanker_van_de_spijsverteringsorganen	1995	Man	group:70-74	568,57
kanker_van_de_spijsverteringsorganen	1995	Man	group:75-79	737,28
kanker_van_de_spijsverteringsorganen	1995	Man	group:80-84	884,14
kanker_van_de_spijsverteringsorganen	1995	Man	group:85+	782,14
kanker_van_de_spijsverteringsorganen	1996	Man	group:0-4	0,6
kanker_van_de_spijsverteringsorganen	1996	Man	group:10-14	0,86
kanker_van_de_spijsverteringsorganen	1996	Man	group:15-19	1,69
kanker_van_de_spijsverteringsorganen	1996	Man	group:20-24	1,5
kanker_van_de_spijsverteringsorganen	1996	Man	group:25-29	2,27
kanker_van_de_spijsverteringsorganen	1996	Man	group:30-34	3,84
kanker_van_de_spijsverteringsorganen	1996	Man	group:35-39	10,25
kanker_van_de_spijsverteringsorganen	1996	Man	group:40-44	24,47
kanker_van_de_spijsverteringsorganen	1996	Man	group:45-49	48,05
kanker_van_de_spijsverteringsorganen	1996	Man	group:50-54	99,46
kanker_van_de_spijsverteringsorganen	1996	Man	group:55-59	176,66
kanker_van_de_spijsverteringsorganen	1996	Man	group:60-64	292,3
kanker_van_de_spijsverteringsorganen	1996	Man	group:65-69	414,46
kanker_van_de_spijsverteringsorganen	1996	Man	group:70-74	577,06
kanker_van_de_spijsverteringsorganen	1996	Man	group:75-79	738,93
kanker_van_de_spijsverteringsorganen	1996	Man	group:80-84	841,37
kanker_van_de_spijsverteringsorganen	1996	Man	group:85+	874,79
kanker_van_de_spijsverteringsorganen	1997	Man	group:0-4	0,4
kanker_van_de_spijsverteringsorganen	1997	Man	group:5-9	0,8
kanker_van_de_spijsverteringsorganen	1997	Man	group:10-14	0,64
kanker_van_de_spijsverteringsorganen	1997	Man	group:15-19	1,06
kanker_van_de_spijsverteringsorganen	1997	Man	group:20-24	1,37
kanker_van_de_spijsverteringsorganen	1997	Man	group:25-29	1,99
kanker_van_de_spijsverteringsorganen	1997	Man	group:30-34	6,52
kanker_van_de_spijsverteringsorganen	1997	Man	group:35-39	11,04
kanker_van_de_spijsverteringsorganen	1997	Man	group:40-44	23,58
kanker_van_de_spijsverteringsorganen	1997	Man	group:45-49	45,98
kanker_van_de_spijsverteringsorganen	1997	Man	group:50-54	98,77
kanker_van_de_spijsverteringsorganen	1997	Man	group:55-59	172,5
kanker_van_de_spijsverteringsorganen	1997	Man	group:60-64	282,44
kanker_van_de_spijsverteringsorganen	1997	Man	group:65-69	431,95
kanker_van_de_spijsverteringsorganen	1997	Man	group:70-74	592,01
kanker_van_de_spijsverteringsorganen	1997	Man	group:75-79	742,62
kanker_van_de_spijsverteringsorganen	1997	Man	group:80-84	880,19
kanker_van_de_spijsverteringsorganen	1997	Man	group:85+	788,82
kanker_van_de_spijsverteringsorganen	1998	Man	group:0-4	0,6
kanker_van_de_spijsverteringsorganen	1998	Man	group:10-14	0,21
kanker_van_de_spijsverteringsorganen	1998	Man	group:15-19	2,11
kanker_van_de_spijsverteringsorganen	1998	Man	group:20-24	1,42
kanker_van_de_spijsverteringsorganen	1998	Man	group:25-29	3,46
kanker_van_de_spijsverteringsorganen	1998	Man	group:30-34	5,35
kanker_van_de_spijsverteringsorganen	1998	Man	group:35-39	10,86
kanker_van_de_spijsverteringsorganen	1998	Man	group:40-44	21,82
kanker_van_de_spijsverteringsorganen	1998	Man	group:45-49	49,97
kanker_van_de_spijsverteringsorganen	1998	Man	group:50-54	107,32
kanker_van_de_spijsverteringsorganen	1998	Man	group:55-59	163,54
kanker_van_de_spijsverteringsorganen	1998	Man	group:60-64	285,46
